霍乱由于O1群霍乱弧菌霍乱生物型所致	A00.000
手术后空肠瘘	K63.207
手术后回肠瘘	K63.208
手术后肠腹壁瘘	K63.209
手术后肠吻合口瘘	K63.210
手术后小肠结肠瘘	K63.211
手术后结肠直肠瘘	K63.212
手术后肠瘘	K63.213
腹壁瘘	K63.214
手术后大肠瘘	K63.215
手术后小肠瘘	K63.216
肠溃疡	K63.300
小肠溃疡伴出血	K63.300x005
回肠溃疡	K63.301
小肠溃疡	K63.302
小肠黏膜糜烂	K63.303
原发性小肠溃疡	K63.304
结肠溃疡	K63.305
盲肠溃疡	K63.306
直肠乙状结肠溃疡	K63.307
肠糜烂	K63.308
肠下垂	K63.400
结肠下垂	K63.401
回肠黏膜脱垂	K63.402
内脏下垂	K63.403
结肠息肉	K63.500
色素沉着性结肠息肉	K63.500x002
横结肠息肉	K63.500x084
升结肠息肉	K63.501
降结肠息肉	K63.502
乙状结肠息肉	K63.503
多发性结肠息肉	K63.504
肠其他特指的疾病	K63.800
结肠脂肪垂	K63.800x003
肠脂肪垂	K63.801
小肠囊肿	K63.802
小肠息肉	K63.803
小肠肿物	K63.804
小肠肉芽肿	K63.805
小肠不典型增生	K63.806
十二指肠囊肿	K63.807
结肠积气	K63.809
结肠囊肿	K63.810
结肠肿物	K63.811
结肠黑变病	K63.812
回盲部息肉	K63.813
回盲部肉芽肿	K63.814
回盲部黏液性囊肿	K63.815
盲肠息肉	K63.816
直肠乙状结肠炎	K63.817
大肠不典型增生	K63.818
肠肉芽肿	K63.819
肠的疾病	K63.900
肠上皮化生	K63.900x002
肠系膜肿物	K63.900x003
盲肠瘀滞症	K63.900x005
回盲部肿物	K63.901
功能性肠病	K63.902
急性腹膜炎	K65.000
化脓性腹膜炎	K65.000x005
弥漫性腹膜炎	K65.000x009
盲肠脓肿	K65.000x014
急性化脓性弥漫性腹膜炎	K65.001
急性化脓性腹膜炎	K65.002
急性弥漫性腹膜炎	K65.003
腹膜脓肿	K65.004
腹腔脓肿	K65.005
腹膜后脓肿	K65.006
肝下脓肿	K65.007
肝周脓肿	K65.008
膈下脓肿	K65.009
网膜脓肿	K65.010
盲肠后脓肿	K65.011
肠系膜脓肿	K65.012
男性盆腔脓肿	K65.013
男性盆腔炎	K65.014
男性盆腔炎性包块	K65.015
细菌性腹膜炎	K65.016
继发性腹膜炎	K65.017
腹膜炎其他的	K65.800
肠系膜炎	K65.800x001
出血性腹膜炎	K65.800x002
肠系膜脂肪坏死	K65.801
慢性腹膜炎	K65.802
胆汁性腹膜炎	K65.803
硬化性腹膜炎	K65.804
多浆膜炎	K65.805
多浆膜腔积液	K65.806
嗜酸性粒细胞性腹膜炎	K65.807
腹膜炎	K65.900
局限性腹膜炎	K65.901
自发性腹膜炎	K65.902
腹腔感染	K65.903
腹膜后感染	K65.904
大网膜炎	K65.905
原发性腹膜炎	K65.906
腹膜粘连	K66.000
腹壁粘连	K66.000x007
回盲部粘连	K66.001
肠粘连	K66.002
胃粘连	K66.003
肠系膜粘连	K66.004
膈肌粘连	K66.005
大网膜粘连	K66.006
腹腔粘连	K66.007
十二指肠粘连	K66.008
腹腔积血	K66.100
腹膜出血	K66.101
腹膜后血肿	K66.102
肠系膜出血	K66.103
腹膜其他特指的疾患	K66.800
网膜肉芽肿性炎	K66.800x008
腹膜憩室	K66.800x009
网膜囊肿	K66.801
肠系膜囊肿	K66.802
肠系膜钙化	K66.803
腹茧症	K66.804
腹膜后囊肿	K66.805
腹壁肉芽肿	K66.806
腹腔囊肿	K66.807
腹膜囊肿	K66.808
腹膜肉芽肿	K66.809
腹膜后肉芽肿	K66.810
膈下囊肿	K66.811
骶前囊肿	K66.812
腹膜的疾患	K66.900
腹膜后肿物	K66.901
酒精性脂肪肝	K70.000
齐夫综合征	K70.001
酒精性肝炎	K70.100
酒精性肝纤维化和肝硬化	K70.200
酒精性肝纤维化	K70.201
酒精性肝硬化	K70.300
酒精性肝硬化伴胃底静脉曲张	K70.300x004+I98.2*
酒精性肝硬化伴胃底静脉曲张破裂出血	K70.300x005+I98.3*
酒精性肝硬化伴食管胃底静脉曲张	K70.300x006+I98.2*
酒精性肝硬化伴食管胃底静脉曲张破裂出血	K70.300x007+I98.3*
拉埃奈克肝硬化Laennec肝硬化	K70.300x008
酒精性肝硬化伴食管静脉曲张	K70.301+I98.2*
酒精性肝硬化伴食管静脉曲张破裂出血	K70.302+I98.3*
酒精性肝衰竭	K70.400
亚急性酒精性肝衰竭	K70.400x002
急性酒精性肝衰竭	K70.401
慢性酒精性肝衰竭	K70.402
酒精性肝衰竭伴肝昏迷	K70.403
酒精性肝病	K70.900
酒精性肝损害	K70.901
中毒性肝病伴有胆汁淤积	K71.000
中毒性肝病伴胆汁淤积	K71.000x002
药物性肝炎伴胆汁淤积	K71.001
中毒性肝病伴有肝坏死	K71.100
中毒性肝病伴肝衰竭	K71.100x001
药物性慢性肝衰竭	K71.100x003
中毒性肝病伴肝衰竭慢性轻度	K71.100x005
中毒性肝病伴肝衰竭慢性中度	K71.100x006
中毒性肝病伴肝衰竭慢性重度	K71.100x007
中毒性肝病伴肝衰竭慢性重型	K71.100x008
药物性肝炎伴肝衰竭	K71.101
急性药物性肝衰竭	K71.102
中毒性肝衰竭	K71.103
亚急性药物性肝衰竭	K71.104
中毒性肝病伴有急性肝炎	K71.200
中毒性肝病伴有慢性迁延性肝炎	K71.300
中毒性肝病伴有慢性小叶性肝炎	K71.400
中毒性肝病伴有慢性活动性肝炎	K71.500
中毒性肝病伴狼疮状肝炎	K71.500x002
中毒性肝病伴有肝炎	K71.600
中毒性肝炎	K71.600x002
药物性肝炎	K71.601
中毒性肝病伴有肝纤维化和肝硬化	K71.700
药物性肝硬化	K71.701
中毒性肝硬化	K71.702
中毒性肝病伴有肝的其他疾患	K71.800
中毒性肝病	K71.900
化学毒物肝损害	K71.900x003
药物性肝损害	K71.901
急性和亚急性肝衰竭	K72.000
慢加急性肝衰竭	K72.000x004
慢加亚急性肝衰竭	K72.000x005
亚急性肝衰竭	K72.001
急性黄色肝萎缩	K72.002
急性肝衰竭	K72.003
慢性肝衰竭	K72.100
肝衰竭	K72.900
肝萎缩	K72.902
肝性脑病	K72.903
肝坏死	K72.904
肝功能不全	K72.905
慢性迁延性肝炎不可归类在他处者	K73.000
慢性迁延性肝炎	K73.000x001
慢性小叶性肝炎不可归类在他处者	K73.100
慢性活动性肝炎不可归类在他处者	K73.200
狼疮状肝炎	K73.200x001
慢性活动性肝炎	K73.200x002
慢性肝炎其他的不可归类在他处者	K73.800
慢性复发性肝炎	K73.800x001
慢性间质性肝炎	K73.801
慢性肝炎	K73.900
慢性重型肝炎	K73.901
肝纤维化	K74.000
肝硬化	K74.100
肝纤维化伴有肝硬化	K74.200
原发性胆汁型肝硬化	K74.300
原发性胆汁型肝硬化伴胃底静脉曲张	K74.300x005+I98.2*
原发性胆汁型肝硬化伴胃底静脉曲张破裂出血	K74.300x006+I98.3*
原发性胆汁型肝硬化伴食管胃底静脉曲张	K74.300x007+I98.2*
原发性胆汁型肝硬化伴食管胃底静脉曲张破裂出血	K74.300x008+I98.3*
原发性胆汁性肝硬化伴食管静脉曲张	K74.301+I98.2*
原发性胆汁性肝硬化伴食管静脉曲张破裂出血	K74.302+I98.3*
继发性胆汁型肝硬化	K74.400
胆汁型肝硬化	K74.500
肝硬变	K74.600
丙型肝炎肝硬化	K74.600x002
乙型肝炎肝硬化	K74.600x003
非酒精性脂肪性肝炎相关性肝硬化	K74.600x018
特指肝硬化	K74.601
乙型肝炎后肝硬化失代偿期	K74.602
丙型肝炎后肝硬化失代偿期	K74.603
自身免疫性肝炎后肝硬化失代偿期	K74.604
肝炎后肝硬化失代偿期	K74.605
混合型肝硬化失代偿期	K74.606
肝硬化失代偿期	K74.607
肝炎后肝硬化	K74.608
结节性肝硬化	K74.610
门脉性肝硬化	K74.611
混合型肝硬化	K74.612
隐源性肝硬化	K74.613
自身免疫性肝硬化	K74.614
肝硬化伴食管静脉曲张破裂出血	K74.615+I98.3*
肝硬化伴食管静脉曲张	K74.616+I98.2*
肝硬化伴食管胃底静脉曲张破裂出血	K74.617+I98.3*
肝硬化伴胃底静脉曲张破裂出血	K74.618+I98.3*
肝硬化伴食管胃底静脉曲张	K74.619+I98.2*
肝硬化伴胃底静脉曲张	K74.620+I98.2*
血吸虫性肝硬化	K74.622
肝脓肿	K75.000
胆管炎性肝脓肿	K75.000x002
门静脉炎性肝脓肿	K75.000x003
胆源性肝脓肿	K75.001
血源性肝脓肿	K75.002
细菌性肝脓肿	K75.003
门静脉炎	K75.100
非特异反应性肝炎	K75.200
肉芽肿性肝炎	K75.300
肝肉芽肿	K75.300x001
自身免疫性肝炎	K75.400
炎性肝脏疾病其他特指的	K75.800
胆小管炎性肝炎	K75.800x001
肝内胆管炎	K75.800x004
肝炎性肿物	K75.800x006
肝旁炎性肿物	K75.801
营养性肝炎	K75.803
胆汁淤积性肝炎	K75.804
肝胆管炎	K75.805
肝炎性假瘤	K75.810
炎性肝脏疾病	K75.900
肝炎	K75.901
脂肪肝	K76.000
非酒精性脂肪性肝炎	K76.000x002
肝慢性阻性充血	K76.100
瘀血性肝损害	K76.100x001
心源性肝硬化	K76.101
慢性淤血性肝损害	K76.102
肝中心性出血性坏死	K76.200
肝梗死	K76.300
紫癜样肝病	K76.400
肝血管瘤病	K76.401
肝静脉梗阻症	K76.500
肝门静脉闭塞	K76.500x001
肝小静脉闭塞	K76.500x002
门静脉高压	K76.600
门静脉瘤栓	K76.600x006
非肝硬化性门脉高压	K76.600x007
胰源性门脉高压	K76.601
特发性门脉高压	K76.602
班蒂综合征	K76.603
肝肾综合征	K76.700
肝肾功能衰竭	K76.700x001
肝性肾病	K76.700x003
肝病其他特指的	K76.800
肝多发性再生肥大结节	K76.800x003
肝管出血	K76.800x007
肝炎后黄疸	K76.800x015
自发性肝破裂出血	K76.801
肝出血	K76.803
肝结节	K76.804
肝肺综合征	K76.805
多发性肝囊肿	K76.806
肝囊肿	K76.807
肝结节性局灶性增生	K76.808
肝下垂	K76.809
缺血性肝病	K76.810
肝血肿	K76.811
肝内钙化点	K76.813
肝癌破裂出血	K76.814
肝管息肉	K76.815
肝细胞性黄疸	K76.816
肝病	K76.900
肝损害	K76.900x002
慢性肝损害	K76.900x003
肝肿物	K76.901
胆囊结石伴有急性胆囊炎	K80.000
胆囊结石伴慢性胆囊炎急性发作	K80.000x004
胆囊结石伴坏疽性胆囊炎	K80.001
胆囊结石伴急性化脓性胆囊炎	K80.002
胆囊结石伴有其他胆囊炎	K80.100
胆囊结石伴胆囊炎	K80.100x001
胆囊结石伴慢性胆囊炎	K80.101
胆囊结石不伴有胆囊炎	K80.200
残余胆囊结石	K80.200x001
胆囊结石	K80.200x003
胆囊管结石	K80.201
胆囊绞痛	K80.202
胆囊结石嵌顿	K80.203
胆管结石伴有胆管炎	K80.300
胆总管结石伴急性化脓性梗阻性胆管炎	K80.300x005
胆总管结石伴急性化脓性胆管炎	K80.301
胆总管结石伴胆管炎	K80.302
肝胆管结石伴胆管炎	K80.303
胆总管结石伴急性胆管炎	K80.304
肝内胆管结石伴胆管炎	K80.305
肝外胆管结石伴胆管炎	K80.306
胆管结石伴有胆囊炎	K80.400
肝内胆管结石伴慢性胆囊炎	K80.400x004
肝外胆管结石伴慢性胆囊炎	K80.400x007
胆管结石伴急性胆囊炎	K80.401
胆总管结石伴急性胆囊炎	K80.402
胆管结石伴慢性胆囊炎	K80.403
胆总管结石伴慢性胆囊炎	K80.404
肝胆管结石伴胆囊炎	K80.405
肝管结石伴慢性胆囊炎	K80.406
胆管结石不伴有胆管炎或胆囊炎	K80.500
胆管结石	K80.500x002
胆总管结石	K80.501
胆绞痛	K80.502
肝内胆管结石	K80.503
肝胆管结石	K80.504
胆总管残余结石	K80.505
胆肠吻合口结石	K80.506
肝管结石	K80.507
胆石症其他的	K80.800
胆石症	K80.800x001
米里齐综合征	K80.801
急性胆囊炎	K81.000
胆囊脓肿	K81.001
急性化脓性胆囊炎	K81.002
急性坏疽性胆囊炎	K81.003
胆囊周围脓肿	K81.004
胆囊坏死	K81.005
慢性胆囊炎急性发作	K81.006
急性梗阻性化脓性胆囊炎	K81.007
胆囊坏疽	K81.008
慢性胆囊炎	K81.100
慢性残余胆囊炎	K81.101
胆囊炎其他的	K81.800
胆囊周炎	K81.801
胆囊炎	K81.900
胆囊梗阻	K82.000
胆囊管残株炎	K82.000x003
胆囊管梗阻	K82.001
胆囊积水	K82.100
胆囊黏液囊肿	K82.101
胆囊穿孔	K82.200
胆囊破裂	K82.200x002
胆囊瘘	K82.300
胆囊肠瘘	K82.301
胆囊胃瘘	K82.302
胆囊十二指肠瘘	K82.303
胆囊结肠瘘	K82.304
手术后胆囊瘘	K82.305
胆囊腹壁瘘	K82.306
胆囊胆固醇沉着症	K82.400
草莓状胆囊	K82.400x001
胆囊其他特指的疾病	K82.800
胆囊出血	K82.800x002
胆囊肉芽肿	K82.800x004
胆囊功能障碍	K82.800x009
胆囊肿大	K82.801
胆囊息肉	K82.802
胆囊腺肌症	K82.803
胆囊管扩张	K82.804
胆囊肥大	K82.805
胆囊钙化	K82.806
胆囊萎缩	K82.807
胆囊扭转	K82.808
胆囊的疾病	K82.900
胆囊病变	K82.900x001
胆囊肿物	K82.900x002
胆管炎	K83.000
急性化脓性胆管炎	K83.000x007
IgG4相关性胆管炎	K83.000x012
急性胆管炎	K83.001
急性化脓性梗阻性胆管炎	K83.003
胆总管炎	K83.004
急性梗阻性胆管炎	K83.005
慢性胆管炎	K83.006
复发性胆管炎	K83.007
梗阻性胆管炎	K83.008
淤积性胆管炎	K83.009
反流性胆管炎	K83.010
化脓性胆管炎	K83.011
硬化性胆管炎	K83.012
原发性胆管炎	K83.013
胆管周围炎	K83.014
继发性胆管炎	K83.015
急性化脓性肝胆管炎	K83.016
狭窄性胆管炎	K83.017
缺血性胆管炎	K83.018
胆道感染	K83.019
胆管梗阻	K83.100
肝管狭窄	K83.100x001
胆囊内胆汁淤积	K83.101
胆汁淤积症	K83.102
肝管梗阻	K83.103
肝胆管狭窄	K83.104
胆管狭窄	K83.105
胆管闭塞	K83.106
胆总管狭窄	K83.107
胆总管梗阻	K83.108
梗阻性黄疸	K83.109
胆管穿孔	K83.200
胆管破裂	K83.200x001
胆管瘘	K83.300
胆总管十二指肠瘘	K83.301
胆管十二指肠瘘	K83.302
胆总管胃瘘	K83.303
手术后胆总管肠瘘	K83.304
手术后胆总管小肠瘘	K83.305
手术后肝总管肠瘘	K83.306
手术后肝总管小肠瘘	K83.307
奥迪括约肌痉挛	K83.400
法特壶腹痉挛	K83.401
胆囊肿	K83.500
胆管囊肿	K83.501
胆总管囊肿	K83.502
胆道其他特指的疾病	K83.800
胆管息肉	K83.800x009
胆汁反流	K83.800x012
奥迪括约肌狭窄	K83.802
法特壶腹部不典型增生	K83.803
缩窄性十二指肠乳头炎	K83.804
肝胆管扩张	K83.805
胆管扩张	K83.807
胆管溃疡	K83.808
胆管出血	K83.809
胆管肥大	K83.810
胆管粘连	K83.811
胆管萎缩	K83.813
胆管瘢痕	K83.814
胆管消失综合征	K83.815
胆总管痉挛	K83.816
胆总管扩张	K83.817
胆总管不典型增生	K83.818
肝内胆管缺失综合征	K83.819
胆心综合征	K83.820
胆道的疾病	K83.900
胆管肿物	K83.901
胆总管肿物	K83.902
特发性急性胰腺炎	K85.000
急性复发胰腺炎	K85.000x001
急性特发性胰腺炎轻症	K85.001
急性特发性胰腺炎重症	K85.002
胆汁型急性胰腺炎	K85.100
急性胆源型胰腺炎轻症	K85.101
急性胆源型胰腺炎重症	K85.102
酒精性急性胰腺炎	K85.200
急性酒精性胰腺炎轻症	K85.201
急性酒精性胰腺炎重症	K85.202
药物性急性胰腺炎	K85.300
急性药物性胰腺炎轻症	K85.301
急性药物性胰腺炎重症	K85.302
急性胰腺炎其他的	K85.800
急性出血坏死性胰腺炎	K85.800x002
胰腺脓肿	K85.800x003
急性轻症胰腺炎	K85.800x005
急性操作后胰腺炎轻症	K85.801
急性创伤性胰腺炎轻症	K85.802
急性复发性胰腺炎轻症	K85.803
急性水肿性胰腺炎轻症	K85.807
急性手术后胰腺炎轻症	K85.808
急性自身免疫性胰腺炎轻症	K85.809
急性操作后胰腺炎重症	K85.813
急性出血性胰腺炎重症	K85.814
急性创伤性胰腺炎重症	K85.815
急性复发性胰腺炎重症	K85.816
急性化脓性胰腺炎重症	K85.817
急性坏死性胰腺炎重症	K85.818
急性手术后胰腺炎重症	K85.821
急性自身免疫性胰腺炎重症	K85.822
急性胰腺炎	K85.900
慢性胰腺炎急性发作	K85.900x002
亚急性胰腺炎	K85.901
急性重症胰腺炎	K85.902
酒精性慢性胰腺炎	K86.000
慢性胰腺炎其他的	K86.100
慢性胰腺炎	K86.100x002
高脂血症性胰腺炎	K86.100x004
慢性复发性胰腺炎	K86.101
慢性创伤性胰腺炎	K86.102
慢性自身免疫性胰腺炎	K86.103
慢性胆石性胰腺炎	K86.104
慢性间质性胰腺炎	K86.105
慢性囊性胰腺炎	K86.106
慢性纤维性胰腺炎	K86.107
胰腺囊肿	K86.200
胰腺假囊肿	K86.300
胰腺其他特指的疾病	K86.800
胰腺肿大	K86.800x001
胰胆管扩张	K86.800x002
胰腺脂肪化	K86.800x003
胰腺囊性纤维性变	K86.800x013
胰腺功能不全并中性粒细胞减少综合征ShwachmanDiamond综合征	K86.800x015
胰腺坏死	K86.801
胰腺纤维化	K86.802
胰岛组织硬化	K86.803
胰管狭窄	K86.804
胰腺组织增生	K86.805
胰腺钙化	K86.806
胰管痉挛	K86.807
胰管扩张	K86.808
胰管结石	K86.809
胰瘘	K86.810
胰管梗阻	K86.811
胰腺脂肪浸润	K86.812
胰腺肉芽肿	K86.813
胰腺功能不全	K86.814
手术后胰腺瘘	K86.815
胰腺积液	K86.816
胰腺萎缩	K86.817
胰心综合征	K86.818
胰腺的疾病	K86.900
胰腺肿物	K86.901
乳糜泻腹腔病	K90.000
非热带性口炎性腹泻	K90.000x001
乳糜泻脂泻病	K90.000x003
谷胶肠病	K90.001
特发性脂肪痢	K90.002
热带口炎性腹泻	K90.100
口炎性腹泻	K90.100x002
热带性脂肪痢	K90.100x003
盲袢综合征	K90.200
非手术性盲袢综合征	K90.200x001
胰性脂肪痢	K90.300
胰源性腹泻	K90.300x001
不耐受引起的吸收不良	K90.400
脂肪痢	K90.401
蛋白丢失性胃肠病	K90.402
碳水化合物吸收不良	K90.403
蛋白吸收不良	K90.404
淀粉吸收不良	K90.405
脂肪吸收不良	K90.406
肠吸收不良其他的	K90.800
原发性小肠吸收不良综合征	K90.801
惠普尔病	K90.802+M14.8*
肠吸收不良	K90.900
小肠吸收不良综合征非手术性	K90.901
胃肠手术后呕吐	K91.000
胃手术后综合征	K91.100
迟发型倾倒综合征	K91.100x001
倾倒综合征	K91.101
残窦综合征	K91.102
迷走神经切断后综合征	K91.103
手术后吸收不良不可归类在他处者	K91.200
手术后吸收不良综合征	K91.200x002
短肠综合征	K91.201
手术后盲袢综合征	K91.202
手术后肠梗阻	K91.300
手术后肠道狭窄	K91.300x002
回肠肛管吻合口狭窄	K91.301
手术后小肠储袋梗阻	K91.302
手术后肠肠吻合口狭窄	K91.303
直肠吻合口狭窄	K91.305
结肠造口术和小肠造口术后功能障碍	K91.400
小肠造口术后功能障碍	K91.401
肠造口术后功能障碍	K91.402
结肠造口术后狭窄	K91.404
结肠造口脱垂	K91.405
人工肛门脱垂	K91.406
人工肛门狭窄	K91.408
胆囊切除术后综合征	K91.500
消化系统的其他操作后疾患	K91.800
手术后食管破裂	K91.800x007
残胃炎伴出血	K91.800x102
残胃溃疡伴出血	K91.800x103
胃肠吻合口炎伴出血	K91.800x106
胃肠吻合口狭窄	K91.800x108
胃肠吻合术后输入袢梗阻	K91.800x111
手术后胃缺血性坏死	K91.800x116
手术后急性胃扩张	K91.800x117
手术后结肠直肠瘘	K91.800x206
肝断面胆道残端漏	K91.800x301
肝管空肠吻合口狭窄	K91.800x302
手术后肝外胆管狭窄	K91.800x304
胆肠吻合口反流	K91.800x401
胆道吻合口漏	K91.800x402
胆道吻合口狭窄	K91.800x403
胆囊切除术后粘连	K91.800x407
手术后缺血性胆道病	K91.800x411
手术后胆肠吻合口炎	K91.800x412
胰腺空肠吻合口溃疡伴出血	K91.800x501
手术后造瘘口旁疝	K91.800x601
手术后造瘘口狭窄	K91.800x602
胰胃吻合口狭窄	K91.801
残胃吻合口炎	K91.802
肠代食管吻合口狭窄	K91.803
肠造瘘术后肠黏膜脱垂	K91.804
胆囊空肠吻合口狭窄	K91.805
胆总管空肠吻合口狭窄	K91.806
胆漏	K91.807
结肠吻合口炎	K91.808
食管胃吻合口狭窄	K91.809
食管胃吻合口瘘	K91.810
食管胃吻合口炎	K91.811
食管空肠吻合口狭窄	K91.812
食管空肠吻合口瘘	K91.813
食管空肠吻合口炎	K91.814
食管吻合口瘘	K91.815
食管十二指肠吻合口瘘	K91.816
食管结肠吻合口狭窄	K91.817
手术后胃肠功能紊乱	K91.818
手术后胃肠吻合口狭窄	K91.819
手术后肠粘连	K91.820
手术后肠吻合口炎	K91.821
手术后胆管狭窄	K91.822
手术后胆管十二指肠吻合口狭窄	K91.823
手术后肛门括约肌失禁	K91.824
手术后肝衰竭	K91.825
手术后肝总管狭窄	K91.826
手术后肝管空肠吻合口狭窄	K91.827
手术后胃排空障碍	K91.828
手术后胃肠吻合口炎	K91.829
手术后胃瘫综合征	K91.830
手术后幽门梗阻	K91.831
胃肠吻合口功能障碍	K91.832
胃肠吻合口水肿	K91.833
胃肠吻合口炎	K91.834
胃肠道手术后腹泻	K91.835
输入袢综合征	K91.836
手术后腹膜炎	K91.837
肠吻合口狭窄	K91.839
手术后胆管闭锁	K91.840
手术后肝管狭窄	K91.841
胃肠吻合术后输出袢梗阻	K91.842
消化系统的操作后疾患	K91.900
呕血	K92.000
黑粪	K92.100
黑便	K92.100x001
胃肠出血	K92.200
便血	K92.200x001
胃出血	K92.201
残胃出血	K92.202
十二指肠出血	K92.203
肠出血	K92.204
盲肠出血	K92.205
结肠出血	K92.206
急性上消化道出血	K92.207
上消化道出血	K92.208
下消化道出血	K92.209
消化道出血	K92.210
消化系统其他特指的疾病	K92.800
食管癌伴出血	K92.800x001
