链球菌感染性菌血症	A49.101	{"dummy_term": ["链球菌", "感染性", "菌血症"]}
腹主动脉旁良性肿瘤	D20.000x002	{"1_region_term": ["腹主动脉"], "dummy_term": ["旁", "良性肿瘤"]}
颊凹陷整形	Z41.100x010	{"dummy_term": ["颊", "整形"], "3_disease_term": ["凹陷"]}
百日咳肺气肿	A37.900x004	{"dummy_term": ["百日咳", "肺气肿"]}
出血性情况	D69.900	{"dummy_term": ["情况"], "3_disease_term": ["出血性"]}
胫前动脉假性动脉瘤	I72.400x222	{"1_region_term": ["动脉"], "dummy_term": ["胫", "前", "假性"], "3_disease_term": ["动脉瘤"]}
气管软化症	J39.808	{"1_region_term": ["气管"], "dummy_term": ["软化", "症"]}
皮肤纤维肉瘤	M88320/3	{"1_region_term": ["皮肤"], "dummy_term": ["纤维", "肉瘤"]}
恶性肿瘤性周围神经病	C80.x02+G63.1*	{"1_region_term": ["周围神经"], "dummy_term": ["恶性肿瘤", "性", "病"]}
神经细胞瘤	M95060/0	{"dummy_term": ["神经细胞"], "3_disease_term": ["瘤"]}
躯干浅表损伤	T09.000	{"1_region_term": ["躯干"], "dummy_term": ["浅表"], "3_disease_term": ["损伤"]}
手术切口异物肉芽肿	T81.504	{"dummy_term": ["切口"], "2_operation_term": ["手术"], "5_others_term": ["异物"], "3_disease_term": ["肉芽肿"]}
小脓疱性湿疹	L30.302	{"dummy_term": ["脓疱", "性"], "5_others_term": ["小"], "3_disease_term": ["湿疹"]}
系统性红斑狼疮累及器官或系统	M32.100	{"dummy_term": ["系统性", "红斑狼疮", "累及", "器官", "或", "系统"]}
胰颈胰体恶性肿瘤	C25.802	{"1_region_term": ["胰", "颈", "胰"], "dummy_term": ["体", "恶性肿瘤"]}
肱静脉损伤	S45.200x002	{"1_region_term": ["静脉"], "dummy_term": ["肱"], "3_disease_term": ["损伤"]}
慢性高血压并发子痫前期	O11.x00x001	{"dummy_term": ["慢性", "高血压", "并发", "子痫", "前期"]}
上唇瘢痕	L90.500x026	{"dummy_term": ["上唇"], "3_disease_term": ["瘢痕"]}
精神发育迟缓其他的未提及行为缺陷	F78.900	{"dummy_term": ["精神", "发育", "迟缓", "其他", "的", "未", "提及", "行为", "缺陷"]}
胰岛素抵抗	E16.801	{"dummy_term": ["抵抗"], "5_others_term": ["胰岛素"]}
渗出性睫状体囊肿	H21.300x008	{"1_region_term": ["睫状体"], "dummy_term": ["渗出性"], "3_disease_term": ["囊肿"]}
多形性室性心动过速	I47.200x010	{"dummy_term": ["多形性", "室", "性", "心动过速"]}
姑息性化疗	Z51.104	{"dummy_term": ["化疗"], "3_disease_term": ["姑息性"]}
先天性碘缺乏综合征混合型	E00.200	{"dummy_term": ["先天性", "碘", "缺乏", "综合征", "混合型"]}
分类于他处的其他疾病引起的心肌病	I43.8*	{"dummy_term": ["分类", "于", "他", "处", "的", "其他", "疾病", "引起", "的", "心肌病"]}
累及胸部伴有腹部下背和骨盆的挤压伤	T04.100	{"1_region_term": ["胸部", "腹部", "骨盆"], "dummy_term": ["累及", "伴有", "下", "背", "和", "的", "挤压", "伤"]}
恶性淋巴瘤大B细胞弥漫性免疫母细胞性	C83.311	{"dummy_term": ["恶性", "淋巴瘤", "B", "细胞", "弥漫性", "免疫", "母细胞", "性"], "5_others_term": ["大"]}
非梗阻性慢性肾盂肾炎	N11.801	{"dummy_term": ["非", "慢性", "肾盂肾炎"], "3_disease_term": ["梗阻性"]}
非风湿性二尖瓣疾患其他的	I34.800	{"1_region_term": ["二尖瓣"], "dummy_term": ["非", "风湿性", "疾患", "其他", "的"]}
侧索联合变性病	E53.800x003+G32.0*	{"dummy_term": ["侧", "索", "变", "性病"], "5_others_term": ["联合"]}
21羟化酶缺陷症	E25.003	{"dummy_term": ["21", "羟化酶", "缺陷", "症"]}
糖尿病伴有肾的并发症	E14.200	{"1_region_term": ["肾"], "dummy_term": ["糖尿病", "伴有", "的", "并发症"]}
呼吸道念珠菌感染	B37.800x083	{"dummy_term": ["呼吸道", "念珠菌", "感染"]}
颅内动脉瘤	I67.110	{"1_region_term": ["颅内动脉"], "3_disease_term": ["瘤"]}
心脏病其他不明确的	I51.800	{"dummy_term": ["心脏病", "其他", "不", "明确", "的"]}
先天性心肌致密化不全	Q24.800x006	{"1_region_term": ["心肌"], "dummy_term": ["先天性", "致密", "化", "不", "全"]}
脑动脉瘤	I67.100x001	{"1_region_term": ["脑动脉"], "3_disease_term": ["瘤"]}
旋转斜视	H50.401	{"dummy_term": ["斜视"], "5_others_term": ["旋转"]}
下肢神经损伤后遗症	T93.400	{"1_region_term": ["下肢", "神经"], "dummy_term": ["后遗症"], "3_disease_term": ["损伤"]}
重睑术后恢复期	Z54.000x005	{"1_region_term": ["重睑"], "dummy_term": ["恢复期"], "3_disease_term": ["术后"]}
吻合口溃疡	K28.900x001	{"dummy_term": ["吻合", "口", "溃疡"]}
面部黑素细胞痣其他和未特指部位的	D22.300	{"1_region_term": ["面部"], "dummy_term": ["黑素细胞", "痣", "其他", "和", "未", "特指", "部位", "的"]}
自主神经功能紊乱	G90.900x001	{"dummy_term": ["自主神经", "功能", "紊乱"]}
消化道烧伤	T28.200x002	{"dummy_term": ["消化道", "烧伤"]}
肺结核痰涂片及培养均证实	A15.000x003	{"dummy_term": ["肺结核", "痰", "涂片", "及", "培养", "均", "证实"]}
颈部贝佐尔德脓肿	H70.003	{"1_region_term": ["颈部"], "dummy_term": ["贝", "佐尔", "德"], "3_disease_term": ["脓肿"]}
钩端螺旋体病	A27.900	{"dummy_term": ["钩", "端", "螺旋体", "病"]}
胸椎骨折	S22.000	{"1_region_term": ["胸椎"], "3_disease_term": ["骨折"]}
移植肝功能衰竭	T86.401	{"dummy_term": ["肝功能", "衰竭"], "2_operation_term": ["移植"]}
结核性渗出性胸膜炎细菌学阳性	A15.606	{"dummy_term": ["结核性", "渗出性", "胸膜炎", "细菌学", "阳性"]}
肛门直肠脓肿	K61.200	{"1_region_term": ["肛门", "直肠"], "3_disease_term": ["脓肿"]}
多处扭伤	T03.900x002	{"dummy_term": ["多处", "扭伤"]}
与有害事件有关的神经科多用途装置不可归类在他处者	Y75.800	{"dummy_term": ["与", "有害", "事件", "有关", "的", "神经科", "多用途", "装置", "不可", "归类", "在", "他", "处", "者"]}
直肠肛门恶性肿瘤	C21.802	{"1_region_term": ["直肠", "肛门"], "dummy_term": ["恶性肿瘤"]}
人格改变持久性的	F62.900	{"dummy_term": ["人格", "改变", "持久性", "的"]}
全身性疾病引起的牙脱落	K08.000	{"1_region_term": ["全身性", "牙"], "dummy_term": ["疾病", "引起", "的", "脱落"]}
妊娠合并痒疹	O99.711	{"dummy_term": ["妊娠", "合", "并", "痒", "疹"]}
胫骨平台骨折	S82.100x087	{"1_region_term": ["胫骨"], "dummy_term": ["平台"], "3_disease_term": ["骨折"]}
重度视力缺损双眼	H54.100	{"dummy_term": ["重度", "双眼"], "5_others_term": ["视力"], "3_disease_term": ["缺损"]}
法洛五联症	Q21.804	{"dummy_term": ["法", "洛", "症"], "5_others_term": ["五联"]}
胸腔内淋巴结继发性的恶性肿瘤	C77.100	{"1_region_term": ["胸腔内", "淋巴结"], "dummy_term": ["继发性", "的", "恶性肿瘤"]}
酒精过敏个人史	Z88.813	{"dummy_term": ["过敏", "个人", "史"], "5_others_term": ["酒精"]}
甲床角化过度	L60.801	{"1_region_term": ["甲床"], "dummy_term": ["角化", "过度"]}
腕和手指伸肌损伤	S66.300x002	{"1_region_term": ["腕", "手指", "肌"], "dummy_term": ["和", "伸"], "3_disease_term": ["损伤"]}
使用挥发性溶剂引起的精神和行为障碍	F18.900	{"dummy_term": ["使用", "挥发性", "溶剂", "引起", "的", "精神", "和", "行为障碍"]}
眼底出血	H35.602	{"1_region_term": ["眼底"], "dummy_term": ["出", "血"]}
软骨间叶性错构瘤	Q85.900x057	{"1_region_term": ["软骨"], "dummy_term": ["间", "叶性", "错构瘤"]}
累及胸部伴有腹部下背和骨盆的浅表损伤	T00.100	{"1_region_term": ["胸部", "腹部", "骨盆"], "dummy_term": ["累及", "伴有", "下", "背", "和", "的", "浅表"], "3_disease_term": ["损伤"]}
急性移植物抗宿主病	T86.000x003	{"dummy_term": ["急性", "抗", "宿主", "病"], "2_operation_term": ["移植物"]}
颏皮肤继发恶性肿瘤	C79.200x008	{"1_region_term": ["颏", "皮肤"], "dummy_term": ["继发", "恶性肿瘤"]}
膀胱粘膜不典型增生	N32.800x016	{"1_region_term": ["膀胱"], "dummy_term": ["粘膜", "不", "典型", "增生"]}
2型糖尿病性腹泻	E11.400x330+G99.0*	{"dummy_term": ["2", "型", "糖尿病", "性"], "3_disease_term": ["腹泻"]}
腕和手二度烧伤	T23.200	{"1_region_term": ["腕", "手"], "dummy_term": ["和", "二度", "烧伤"]}
心脏兴奋苷和相似作用药中毒	T46.000	{"1_region_term": ["心脏"], "dummy_term": ["兴奋", "苷", "和", "相似", "作用", "药", "中毒"]}
创伤性乳房动脉破裂	S25.802	{"1_region_term": ["乳房", "动脉"], "dummy_term": ["创伤性"], "3_disease_term": ["破裂"]}
前极白内障	H25.000x002	{"1_region_term": ["白内障"], "dummy_term": ["前", "极"]}
接触锰	Z57.501	{"dummy_term": ["接触", "锰"]}
颈动脉体瘤	M86920/1	{"1_region_term": ["颈动脉"], "3_disease_term": ["体瘤"]}
妊娠滋养细胞病	O01.901	{"dummy_term": ["妊娠", "滋养", "细胞", "病"]}
心源性休克	R57.000	{"dummy_term": ["心源性", "休克"]}
骑手或乘员在与脚踏车碰撞中的损伤	V80.200	{"dummy_term": ["骑手", "或", "乘员", "在", "与", "脚踏车", "碰撞", "的"], "5_others_term": ["中"], "3_disease_term": ["损伤"]}
足部烧伤	T25.000x003	{"1_region_term": ["足部"], "dummy_term": ["烧伤"]}
膝关节滑膜囊肿	M71.307	{"1_region_term": ["膝关节", "滑膜"], "3_disease_term": ["囊肿"]}
脐血干细胞移植状态	Z94.800x010	{"1_region_term": ["脐血干细胞"], "dummy_term": ["状态"], "2_operation_term": ["移植"]}
卵巢巧克力样囊肿	N80.100x001	{"1_region_term": ["卵巢"], "dummy_term": ["巧克力", "样"], "3_disease_term": ["囊肿"]}
冈上肌肌腱钙化	M75.302	{"1_region_term": ["肌", "肌腱"], "dummy_term": ["冈", "上", "钙化"]}
先天性泪器畸形	Q10.600x001	{"dummy_term": ["先天性", "泪器"], "3_disease_term": ["畸形"]}
异位妊娠个人史	Z87.500x004	{"dummy_term": ["妊娠", "个人", "史"], "3_disease_term": ["异位"]}
眼脑综合征	I60.902+H45.0*	{"1_region_term": ["眼", "脑"], "dummy_term": ["综合征"]}
链球菌急性支气管炎	J20.200	{"dummy_term": ["链球菌", "急性", "支气管炎"]}
扁桃体周围炎	J36.x00x003	{"1_region_term": ["扁桃体"], "dummy_term": ["炎"], "5_others_term": ["周围"]}
家族性低钙尿性高钙血症	E83.500x008	{"dummy_term": ["家族", "性", "低", "钙", "尿", "性", "高钙血症"]}
骨梅毒	A52.700x006+M90.2*	{"1_region_term": ["骨"], "dummy_term": ["梅毒"]}
腹部结缔组织和软组织恶性肿瘤	C49.400	{"1_region_term": ["腹部", "软组织"], "dummy_term": ["结缔组织", "和", "恶性肿瘤"]}
溃疡性鼻炎	J31.002	{"dummy_term": ["溃疡性", "鼻炎"]}
开放性肋后壁损伤	S21.202	{"dummy_term": ["肋", "后", "壁"], "3_disease_term": ["开放性", "损伤"]}
与有害事件有关的放射学手术器械材料和装置包括缝线	Y78.300	{"dummy_term": ["与", "有害", "事件", "有关", "的", "放射学", "手术器械", "材料", "和", "装置", "包括"], "5_others_term": ["缝线"]}
胆管周围炎	K83.014	{"1_region_term": ["胆管"], "dummy_term": ["炎"], "5_others_term": ["周围"]}
鼻咽病变	J39.224	{"1_region_term": ["鼻咽"], "3_disease_term": ["病变"]}
止痒药的有害效应	Y56.100	{"dummy_term": ["止痒", "药", "的", "有害", "效应"]}
肾盂恶性肿瘤史	Z85.500x002	{"1_region_term": ["肾盂"], "dummy_term": ["恶性肿瘤", "史"]}
基底细胞瘤	M80900/1	{"dummy_term": ["基底", "细胞"], "3_disease_term": ["瘤"]}
陈旧性下壁正后壁心肌梗死	I25.208	{"dummy_term": ["陈旧性", "下", "壁", "正", "后", "壁", "心肌梗死"]}
大腿肌断裂	S76.402	{"1_region_term": ["大腿", "肌"], "dummy_term": ["断裂"]}
疟疾	B54.x00	{"dummy_term": ["疟疾"]}
新生儿胆囊结石	P78.801	{"1_region_term": ["胆囊结石"], "dummy_term": ["新生儿"]}
绵羊疥疮	B86.x00x003	{"dummy_term": ["绵羊", "疥疮"]}
与诉讼有关的问题	Z65.300x003	{"dummy_term": ["与", "诉讼", "有关", "的", "问题"]}
颊间隙感染	K12.204	{"dummy_term": ["颊间隙", "感染"]}
行人在与其他非机动车辆碰撞中的损伤	V06.x00	{"dummy_term": ["行人", "在", "与", "其他", "非机动车", "辆", "碰撞", "的"], "5_others_term": ["中"], "3_disease_term": ["损伤"]}
遗传性和特发性神经病其他的	G60.800	{"dummy_term": ["遗传性", "和", "特发性", "神经病", "其他", "的"]}
灾难性经历后的持久性人格改变	F62.000	{"dummy_term": ["灾难性", "经历", "后", "的", "持久性", "人格", "改变"]}
乳突切除术后空腔感染	H95.102	{"1_region_term": ["乳突"], "dummy_term": ["空腔", "感染"], "5_others_term": ["切除术后"]}
儿童难治性血细胞减少	D46.700x008	{"dummy_term": ["难治性", "血细胞", "减少"], "5_others_term": ["儿童"]}
继发于内分泌疾患的高血压	I15.200	{"dummy_term": ["继发", "于", "内分泌", "疾患", "的", "高血压"]}
疱疹病毒性脑炎	B00.400+G05.1*	{"dummy_term": ["疱疹"], "3_disease_term": ["病毒性脑炎"]}
角膜结核	A18.506+H19.2*	{"1_region_term": ["角膜"], "dummy_term": ["结核"]}
肾梗死	N28.001	{"1_region_term": ["肾"], "dummy_term": ["梗死"]}
肌腱挛缩	M67.101	{"1_region_term": ["肌腱", "挛缩"]}
髋和下肢腐蚀伤除外踝和足	T24.400	{"1_region_term": ["髋", "下肢", "踝", "足"], "dummy_term": ["和", "腐蚀", "伤", "除外", "和"]}
食管静脉瘤	I85.901	{"1_region_term": ["食管"], "dummy_term": ["静脉瘤"]}
垂体功能低下	E23.000x006	{"1_region_term": ["垂体"], "dummy_term": ["功能", "低下"]}
手术后结肠瘘	K63.205	{"1_region_term": ["结肠"], "5_others_term": ["手术后"], "3_disease_term": ["瘘"]}
肾恶性肿瘤个人史	Z85.501	{"1_region_term": ["肾"], "dummy_term": ["恶性肿瘤", "个人", "史"]}
胎儿和新生儿蛛网膜下非创伤性出血	P52.500	{"1_region_term": ["蛛网膜"], "dummy_term": ["和", "新生儿", "下", "非", "创伤性", "出", "血"], "5_others_term": ["胎儿"]}
瘢痕性倒睫	H02.002	{"dummy_term": ["性", "倒睫"], "3_disease_term": ["瘢痕"]}
非阿片样镇痛药中毒	T39.901	{"dummy_term": ["非", "阿片", "样", "镇痛药", "中毒"]}
棘阿米巴性结膜炎	B60.100x002+H13.1*	{"dummy_term": ["棘", "阿米巴", "性", "结膜炎"]}
梗阻性分娩	O66.900	{"dummy_term": ["分娩"], "3_disease_term": ["梗阻性"]}
肠系膜丛损伤	S34.503	{"1_region_term": ["肠系膜"], "dummy_term": ["丛"], "3_disease_term": ["损伤"]}
变应性口炎	K12.106	{"dummy_term": ["变应性", "口炎"]}
输卵管结核	A18.113+N74.1*	{"1_region_term": ["输卵管"], "dummy_term": ["结核"]}
避孕环残留	T83.300x001	{"dummy_term": ["避孕环"], "3_disease_term": ["残留"]}
青春期疾患其他的	E30.800	{"dummy_term": ["青春期", "疾患", "其他", "的"]}
耻骨良性肿瘤	D16.800x001	{"1_region_term": ["耻骨"], "dummy_term": ["良性肿瘤"]}
2型糖尿病性膀胱张力减弱	E11.400x380+G99.0*	{"1_region_term": ["膀胱"], "dummy_term": ["2", "型", "糖尿病", "性", "张", "力", "减弱"]}
多胎产某些为活产其他的	Z37.600	{"dummy_term": ["多胎", "产", "某些", "为", "活产", "其他", "的"]}
交界痣	M87400/0	{"dummy_term": ["交界", "痣"]}
服用药物致新生儿黄疸	P58.402	{"dummy_term": ["服用药", "物", "致", "新生儿", "黄疸"]}
胃底继发恶性肿瘤	C78.800x010	{"1_region_term": ["胃底"], "dummy_term": ["继发", "恶性肿瘤"]}
睑和眼周区腐蚀伤	T26.500	{"1_region_term": ["睑", "眼"], "dummy_term": ["和", "周", "区", "腐蚀", "伤"]}
跖骨骨骺损伤	S92.300x004	{"1_region_term": ["跖骨", "骨骺"], "3_disease_term": ["损伤"]}
转移性混合瘤	M89400/6	{"dummy_term": ["转移性", "混合"], "3_disease_term": ["瘤"]}
非典型类癌性瘤	M82490/3	{"dummy_term": ["非典型", "类", "癌", "性"], "3_disease_term": ["瘤"]}
幼年型骨软骨病其他特指的	M92.800	{"1_region_term": ["骨"], "dummy_term": ["幼年", "型", "软骨病", "其他", "特指", "的"]}
骨嗜酸细胞肉芽肿	D76.000x003	{"1_region_term": ["骨"], "dummy_term": ["嗜", "酸", "细胞"], "3_disease_term": ["肉芽肿"]}
与不具备及得不到卫生保健设施有关	Z75.300	{"dummy_term": ["与", "不", "具备", "及", "得不到", "卫生保健", "设施", "有关"]}
陈旧性颏骨折	T90.207	{"1_region_term": ["颏"], "dummy_term": ["陈旧性"], "3_disease_term": ["骨折"]}
磷酸二钙结晶性关节炎病	M11.802	{"dummy_term": ["磷酸", "二", "钙", "结晶性", "关节炎", "病"]}
非器质性睡眠过度	F51.100	{"dummy_term": ["非", "器质性", "睡眠", "过度"]}
医疗照顾其他特指的	Z51.800	{"dummy_term": ["医疗", "照顾", "其他", "特指", "的"]}
聚会性痤疮	L70.100	{"dummy_term": ["聚会", "性", "痤疮"]}
等孢球虫病	A07.300	{"dummy_term": ["等", "孢", "球虫病"]}
皮肤异物取出术后恢复期	Z54.000x018	{"1_region_term": ["皮肤"], "dummy_term": ["后", "恢复期"], "2_operation_term": ["异物取出术"]}
孕产妇产前筛查的超声波异常所见	O28.300	{"dummy_term": ["孕产妇", "筛查", "的", "超声波", "异常", "所", "见"], "5_others_term": ["产前"]}
良性颅内高压	G93.200	{"1_region_term": ["颅内"], "dummy_term": ["良性", "高压"]}
鼻中隔脓肿	J34.007	{"1_region_term": ["鼻中隔"], "3_disease_term": ["脓肿"]}
涉及锐器的依法处置	Y35.400	{"dummy_term": ["涉及", "锐器", "的", "依法", "处置"]}
血友病A型	D66.x01	{"dummy_term": ["血友病", "A型"]}
纤维黏液脂肪瘤	M88521/0	{"dummy_term": ["纤维", "黏液", "脂肪瘤"]}
舌淋巴管畸形	Q89.800x907	{"1_region_term": ["舌", "淋巴管"], "3_disease_term": ["畸形"]}
婴儿低血糖症	E16.106	{"dummy_term": ["婴儿", "低血糖症"]}
陈旧性前壁高侧壁心肌梗死	I25.200x017	{"dummy_term": ["陈旧性", "前", "壁", "高", "侧壁", "心肌梗死"]}
开放性手舟状骨骨折	S62.010	{"1_region_term": ["手", "骨"], "dummy_term": ["舟", "状"], "3_disease_term": ["开放性", "骨折"]}
肺坏疽	J85.000x002	{"1_region_term": ["肺"], "dummy_term": ["坏疽"]}
腹膜后继发恶性肿瘤	C78.601	{"1_region_term": ["腹膜后"], "dummy_term": ["继发", "恶性肿瘤"]}
肠道病毒性脑膜炎	A87.000x001+G02.0*	{"dummy_term": ["肠道病毒", "性", "脑膜炎"]}
中央型小脑幕裂孔疝中心疝中线疝	G93.500x006	{"1_region_term": ["小脑"], "dummy_term": ["中央", "型", "幕", "中心", "中线"], "3_disease_term": ["裂孔", "疝", "疝", "疝"]}
臂浅表冻伤	T33.400	{"1_region_term": ["臂"], "dummy_term": ["浅表", "冻伤"]}
关节不稳定	M25.301	{"1_region_term": ["关节"], "dummy_term": ["不", "稳定"]}
