链球菌感染性菌血症	A49.101	{"dummy_term": ["链球菌", "感染性", "菌血症"]}
其他入脑前动脉的闭塞和狭窄	I65.8	{"1_region_term": ["脑", "动脉"], "dummy_term": ["其他", "入", "前", "的", "闭塞", "和"], "3_disease_term": ["狭窄"]}
良性肿瘤，其他特指部位的	D36.700	{"dummy_term": ["良性肿瘤", ",", "其他", "特指", "部位", "的"]}
鼻病毒急性支气管炎	J20.600	{"1_region_term": ["鼻"], "dummy_term": ["病毒", "急性", "支气管炎"]}
症状性精神障碍	F09.x01	{"dummy_term": ["症状", "性", "精神障碍"]}
颈部结缔组织动态未定肿瘤	D48.107	{"1_region_term": ["颈部"], "dummy_term": ["结缔组织", "动态", "未定", "肿瘤"]}
未特指的接触性皮炎	L25	{"dummy_term": ["未", "特指", "的", "接触", "性皮炎"]}
麻醉品和致幻药[致幻剂]意外中毒及暴露于该类药物,不可归类在他处者	X42	{"dummy_term": ["麻醉品", "和", "致", "幻", "药", "[", "致幻剂", "]", "意外", "中毒", "及", "暴露", "于", "该", "类药物", "不可", "归类", "在", "他", "处", "者"]}
急性和亚急性虹膜睫状体炎	H20.000	{"1_region_term": ["虹膜", "睫状体"], "dummy_term": ["急性", "和", "亚急性", "炎"]}
与低收入有关	Z59.6	{"dummy_term": ["与", "低收入", "有关"]}
胎儿和新生儿颅内非创伤性出血	P52	{"1_region_term": ["颅内"], "dummy_term": ["和", "新生儿", "非", "创伤性", "出", "血"], "5_others_term": ["胎儿"]}
手术后胃肠功能紊乱	K91.818	{"dummy_term": ["胃肠功能", "紊乱"], "5_others_term": ["手术后"]}
盲,单眼	H54.4	{"dummy_term": ["盲", "单眼"]}
耳和乳突未特指的操作后疾患	H95.9	{"1_region_term": ["耳", "乳突"], "dummy_term": ["和", "未", "特指", "的", "后", "疾患"], "5_others_term": ["操作"]}
性偏好障碍	F65.900	{"dummy_term": ["性", "偏好", "障碍"]}
在卫生保健设施中其他的寄膳者	Z76.400	{"dummy_term": ["在", "卫生保健", "设施", "其他", "的", "寄", "膳", "者"], "5_others_term": ["中"]}
女性生殖道其他部位的息肉	N84.800	{"dummy_term": ["生殖道", "其他", "部位", "的"], "5_others_term": ["女性"], "3_disease_term": ["息肉"]}
慢性结肠血吸虫病	B65.101	{"1_region_term": ["结肠"], "dummy_term": ["慢性", "血吸虫病"]}
椎动脉狭窄	I65.001	{"1_region_term": ["椎动脉"], "3_disease_term": ["狭窄"]}
后天性胸骨回缩	M95.408	{"1_region_term": ["胸骨"], "dummy_term": ["后天性", "回", "缩"]}
肝硬化伴食管静脉曲张	K74.616†I98.2*	{"dummy_term": ["肝硬化", "伴食", "管"], "3_disease_term": ["静脉曲张"]}
结核性心包积液	A18.809†I32.0*	{"1_region_term": ["心包"], "dummy_term": ["结核性"], "5_others_term": ["积液"]}
发育指标延迟	R62.000	{"dummy_term": ["发育", "指标"], "3_disease_term": ["延迟"]}
鼻咽良性肿瘤	D10.600	{"1_region_term": ["鼻咽"], "dummy_term": ["良性肿瘤"]}
胫侧滑囊炎[佩莱格里尼-施蒂达]	M76.400	{"1_region_term": ["滑囊"], "dummy_term": ["胫", "侧", "炎", "[", "佩", "莱格", "里尼", "-", "施", "蒂", "达", "]"]}
化脓性腮腺炎	K11.211	{"dummy_term": ["化脓性", "腮腺炎"]}
牙拥挤	K07.304	{"1_region_term": ["牙"], "dummy_term": ["拥挤"]}
其他慢性非化脓性中耳炎	H65.4	{"dummy_term": ["其他", "慢性", "非", "化脓性", "中耳炎"]}
乳房上内象限恶性肿瘤	C50.200	{"1_region_term": ["乳房"], "dummy_term": ["上", "内", "象限", "恶性肿瘤"]}
先天性张力过高	P94.100	{"dummy_term": ["先天性", "张", "力", "过", "高"]}
腰椎楔形变	M48.503	{"1_region_term": ["腰椎"], "dummy_term": ["变"], "3_disease_term": ["楔形"]}
宫颈炎性疾病	N72.x00	{"dummy_term": ["宫颈炎", "性疾病"]}
混合性睡眠呼吸暂停综合征	G47.303	{"dummy_term": ["混合性", "睡眠", "暂停", "综合征"], "5_others_term": ["呼吸"]}
颈椎滑脱	M43.002	{"1_region_term": ["颈椎"], "dummy_term": ["滑脱"]}
股静脉的静脉炎和血栓性静脉炎	I80.100	{"1_region_term": ["股静脉"], "dummy_term": ["的", "静脉炎", "和", "静脉炎"], "3_disease_term": ["血栓性"]}
锁骨下动脉盗血综合征	G45.801	{"1_region_term": ["锁骨下动脉"], "dummy_term": ["盗", "血", "综合征"]}
眼肌纤维化	H50.603	{"1_region_term": ["眼肌"], "dummy_term": ["纤维化"]}
输卵管损伤	S37.500	{"1_region_term": ["输卵管"], "3_disease_term": ["损伤"]}
无名静脉或锁骨下静脉损伤	S25.300	{"1_region_term": ["静脉", "锁骨下静脉"], "dummy_term": ["无名", "或"], "3_disease_term": ["损伤"]}
催产药中毒	T48.000	{"dummy_term": ["催产药", "中毒"]}
桡骨干骨折	S52.300	{"1_region_term": ["桡骨"], "dummy_term": ["干"], "3_disease_term": ["骨折"]}
原发性单侧膝关节病	M17.101	{"1_region_term": ["膝关节"], "dummy_term": ["原发性", "病"], "5_others_term": ["单侧"]}
原位癌	D09.900	{"dummy_term": ["原位癌"]}
固体和液体引起的肺炎，其他的	J69.800	{"dummy_term": ["固体", "和", "液体", "引起", "的", "肺炎", ",", "其他", "的"]}
接触和暴露于结核病	Z20.100	{"dummy_term": ["接触", "和", "暴露", "于", "结核病"]}
髋关节假体障碍	T84.003	{"1_region_term": ["髋关节"], "dummy_term": ["障碍"], "4_implant_term": ["假体"]}
十二指肠溃疡	K26	{"1_region_term": ["十二指肠"], "dummy_term": ["溃疡"]}
输卵管的子宫内膜异位症	N80.200	{"1_region_term": ["输卵管", "子宫内膜"], "dummy_term": ["的"], "3_disease_term": ["异位症"]}
未特指的黄热病	A95.9	{"dummy_term": ["未", "特指", "的", "黄热病"]}
遗传性肾病伴有密集沉积物病，不可归类在他处者	N07.600	{"dummy_term": ["遗传性", "肾病", "伴有", "密集", "沉积物", "病", ",", "不可", "归类", "在", "他", "处", "者"]}
急性舌下腺炎	K11.203	{"1_region_term": ["舌下腺"], "dummy_term": ["急性", "炎"]}
双侧混合性传导性和感音神经性听觉丧失	H90.600	{"1_region_term": ["神经性"], "dummy_term": ["混合性", "传导性", "和", "感", "音", "听觉", "丧失"], "5_others_term": ["双侧"]}
废用性斜视	H50.805	{"dummy_term": ["废", "用", "性", "斜视"]}
衣原体性女性盆腔炎性疾病	A56.101†N74.4*	{"1_region_term": ["女性盆腔"], "dummy_term": ["衣原体", "性", "炎", "性疾病"]}
面部皮肤脓肿、疖和痈	L02.000	{"1_region_term": ["面部皮肤"], "dummy_term": [",", "疖", "和", "痈"], "3_disease_term": ["脓肿"]}
玻璃体黄斑牵拉综合征	H43.802	{"1_region_term": ["玻璃体", "黄斑"], "dummy_term": ["牵拉", "综合征"]}
抗高脂血症和抗动脉硬化药的有害效应	Y52.600	{"dummy_term": ["抗", "高脂血症", "和", "抗", "动脉硬化", "药", "的", "有害", "效应"]}
类风湿性关节炎伴心肌病	M05.302†I52.8*	{"dummy_term": ["类", "风湿性关节炎", "伴", "心肌病"]}
新皮质癫痫	G40.102	{"dummy_term": ["新", "皮质", "癫痫"]}
链球菌感染 	A49.100	{"dummy_term": ["链球菌", "感染"]}
其他特指的皮肤棘层松解性疾患	L11.8	{"1_region_term": ["皮肤"], "dummy_term": ["其他", "特指", "的", "棘", "层", "松解", "性", "疾患"]}
水杨酸盐类中毒	T39.000	{"dummy_term": ["水杨酸", "盐类", "中毒"]}
未特指的心肌病	I42.9	{"dummy_term": ["未", "特指", "的", "心肌病"]}
其他的反应性关节病	M02.8	{"dummy_term": ["其他", "的", "反应", "性", "关节病"]}
克鲁宗病	Q75.101	{"dummy_term": ["克", "鲁", "宗", "病"]}
气管食管沟淋巴结继发恶性肿瘤	C77.008	{"1_region_term": ["气管", "食管", "淋巴结"], "dummy_term": ["沟", "继发", "恶性肿瘤"]}
其他趾骨折	S92.5	{"1_region_term": ["趾骨"], "dummy_term": ["其他", "折"]}
伴有滥用可能性的精神兴奋剂的有害效应	Y49.700	{"dummy_term": ["伴有", "滥用", "可能性", "的", "精神", "兴奋剂", "的", "有害", "效应"]}
[任何]骑摩托车人员在其他和未特指的交通事故中的损伤	V29.9	{"dummy_term": ["[", "任何", "]", "骑", "摩托车", "人员", "在", "其他", "和", "未", "特指", "的", "交通事故", "的"], "5_others_term": ["中"], "3_disease_term": ["损伤"]}
血管内大B细胞淋巴瘤	C49.902M96802/3	{"1_region_term": ["血管内"], "dummy_term": ["B", "细胞", "淋巴瘤"], "5_others_term": ["大"]}
与父母亲和姻亲关系有关的问题，具有潜在健康问题	Z63.100	{"dummy_term": ["与", "父母亲", "和", "姻亲", "关系", "有关", "的", "问题", ",", "具有", "潜在", "健康", "问题"]}
葡萄酒色斑	Q82.503	{"dummy_term": ["葡萄酒", "色斑"]}
尿道下裂	Q54	{"1_region_term": ["尿道"], "3_disease_term": ["下裂"]}
手术后伤口肉芽肿	T81.808	{"5_others_term": ["手术后"], "3_disease_term": ["伤口", "肉芽肿"]}
原发性胆汁性肝硬化伴食管静脉曲张	K74.301†I98.2*	{"dummy_term": ["原发性", "胆汁", "性", "肝硬化", "伴食", "管"], "3_disease_term": ["静脉曲张"]}
未特指的颌的疾病	K10.9	{"dummy_term": ["未", "特指", "的", "颌", "的", "疾病"]}
胸腔血管瘤	D18.011	{"1_region_term": ["胸腔"], "dummy_term": ["血管瘤"]}
新生儿青紫发作	P28.200	{"dummy_term": ["新生儿", "青紫", "发作"]}
肠动态未定肿瘤	D37.707	{"1_region_term": ["肠"], "dummy_term": ["动态", "未定", "肿瘤"]}
左室憩室	Q24.812	{"dummy_term": ["左", "室", "憩", "室"]}
产后即时出血	O72.101	{"dummy_term": ["产", "后", "即时", "出", "血"]}
陈旧性颈淋巴结核	B90.801	{"1_region_term": ["颈淋巴结"], "dummy_term": ["陈旧性", "核"]}
本周蛋白尿	R80.x01	{"dummy_term": ["本周", "蛋白尿"]}
妊娠合并直肠膨出	O34.805	{"1_region_term": ["直肠"], "dummy_term": ["妊娠", "合", "并"], "3_disease_term": ["膨出"]}
妊娠合并疱疹	O98.504	{"dummy_term": ["妊娠", "合", "并", "疱疹"]}
分类于他处的其他疾病引起的脑积水	G94.2*	{"dummy_term": ["分类", "于", "他", "处", "的", "其他", "疾病", "引起", "的", "脑积水"]}
视神经麻痹	H47.001	{"1_region_term": ["视神经"], "dummy_term": ["麻痹"]}
三轮机动车的车辆外人员在三轮机动车与重型运输车或公共汽车碰撞非交通事故中的损伤	V34.2	{"dummy_term": ["三轮", "机动车", "的", "车辆", "外", "人员", "在", "三轮", "机动车", "与", "重型", "运输车", "或", "公共汽车", "碰撞", "非", "交通事故", "的"], "5_others_term": ["中"], "3_disease_term": ["损伤"]}
阴茎损伤	S39.904	{"1_region_term": ["阴茎"], "3_disease_term": ["损伤"]}
锁骨下动脉闭塞	I74.801	{"1_region_term": ["锁骨下动脉"], "dummy_term": ["闭塞"]}
先天性红细胞生成不良性贫血	D64.400	{"dummy_term": ["先天性", "红细胞", "生成", "不良", "性贫血"]}
未特指的小汽车乘员在小汽车与其他非机动车辆碰撞交通事故中的损伤	V46.9	{"dummy_term": ["未", "特指", "的", "小汽车", "乘员", "在", "小汽车", "与", "其他", "非机动车", "辆", "碰撞", "交通事故", "的"], "5_others_term": ["中"], "3_disease_term": ["损伤"]}
悬吊、绞勒和窒息，意图不确定的	Y20.x00	{"dummy_term": ["悬吊", ",", "绞", "勒", "和", "窒息", ",", "意图", "不", "确定", "的"]}
慢性前列腺炎	N41.100	{"dummy_term": ["慢性", "前列腺炎"]}
在踝和足水平的未特指肌肉和肌腱的损伤	S96.9	{"1_region_term": ["踝", "足", "肌肉", "肌腱"], "dummy_term": ["在", "和", "水平", "的", "未", "特指", "和", "的"], "3_disease_term": ["损伤"]}
瘀斑	R58.x02	{"dummy_term": ["瘀斑"]}
痒疹，其他的	L28.200	{"dummy_term": ["痒", "疹", ",", "其他", "的"]}
病毒性心包炎	I30.103	{"dummy_term": ["病毒性", "心包炎"]}
气功所致精神障碍	F43.802	{"dummy_term": ["气功", "所致", "精神障碍"]}
产伤引起的埃尔布麻痹	P14.000	{"dummy_term": ["产", "伤", "引起", "的", "埃", "尔", "布", "麻痹"]}
病理性脊柱关节脱位	M53.212	{"1_region_term": ["脊柱关节"], "dummy_term": ["病理性"], "3_disease_term": ["脱位"]}
滑膜肥大，不可归类在他处者	M67.200	{"1_region_term": ["滑膜"], "dummy_term": ["肥大", ",", "不可", "归类", "在", "他", "处", "者"]}
残端综合征	T87.602	{"dummy_term": ["综合征"], "3_disease_term": ["残端"]}
腕和手创伤性切断	S68	{"1_region_term": ["腕", "手"], "dummy_term": ["和", "创伤性"], "5_others_term": ["切断"]}
唇息肉	K13.007	{"1_region_term": ["唇"], "3_disease_term": ["息肉"]}
乳房复旧不全	N64.801	{"1_region_term": ["乳房"], "dummy_term": ["复旧", "不", "全"]}
慢性轻度丙型病毒性肝炎	B18.202	{"dummy_term": ["慢性", "轻度", "丙型", "病毒性", "肝炎"]}
其他布氏菌病	A23.8	{"dummy_term": ["其他", "布", "氏", "菌", "病"]}
前臂肌痛	M79.103	{"1_region_term": ["前臂肌"], "dummy_term": ["痛"]}
贲门胃体恶性肿瘤	C16.802	{"1_region_term": ["贲门", "胃"], "dummy_term": ["体", "恶性肿瘤"]}
结核性肺炎，未做细菌学和组织学检查	A16.102	{"dummy_term": ["结核", "性肺炎", ",", "未", "做", "细菌学", "和", "组织学"], "2_operation_term": ["检查"]}
踝和足未特指的浅表损伤	S90.9	{"1_region_term": ["踝", "足"], "dummy_term": ["和", "未", "特指", "的", "浅表"], "3_disease_term": ["损伤"]}
视网膜裂孔	H33.304	{"1_region_term": ["视网膜"], "3_disease_term": ["裂孔"]}
入脑前动脉血栓形成引起的脑梗死	I63.000	{"1_region_term": ["脑"], "dummy_term": ["入", "前", "动脉血", "栓", "形成", "引起", "的", "脑梗死"]}
输注、输血和治疗性注射后的其他并发症	T80.800	{"dummy_term": [",", "和", "性", "后", "的", "其他", "并发症"], "2_operation_term": ["输注", "输血", "治疗", "注射"]}
慢性紧张型头痛伴颅骨膜压痛	G44.208	{"1_region_term": ["颅骨"], "dummy_term": ["慢性", "紧张", "型", "伴", "膜", "压痛"], "3_disease_term": ["头痛"]}
子宫韧带肿瘤	D39.704	{"1_region_term": ["子宫韧带"], "dummy_term": ["肿瘤"]}
多发性偏心性多中心骨化	M89.202	{"dummy_term": ["多发性", "偏心", "性", "多", "中心", "骨化"]}
妊娠合并心血管病	O99.419	{"dummy_term": ["妊娠", "合", "并", "心血管病"]}
三轮机动车乘员在三轮机动车与固定或静止物体碰撞中的损伤	V37.x00	{"dummy_term": ["三轮", "机动车", "乘员", "在", "三轮", "机动车", "与", "或", "静止", "物体", "碰撞", "的"], "2_operation_term": ["固定"], "5_others_term": ["中"], "3_disease_term": ["损伤"]}
在前臂水平的其他肌肉和肌腱的损伤	S56.800	{"1_region_term": ["前臂", "肌肉", "肌腱"], "dummy_term": ["在", "水平", "的", "其他", "和", "的"], "3_disease_term": ["损伤"]}
人工受精	Z31.100	{"dummy_term": ["人", "工", "受精"]}
腓神经麻痹	G57.301	{"1_region_term": ["腓神经"], "dummy_term": ["麻痹"]}
骨软骨病，其他特指的	M93.800	{"1_region_term": ["骨"], "dummy_term": ["软骨病", ",", "其他", "特指", "的"]}
支双腔吸虫病	B66.200	{"dummy_term": ["支", "腔", "吸虫病"], "5_others_term": ["双"]}
幽门窦恶性肿瘤	C16.300	{"1_region_term": ["幽门"], "dummy_term": ["恶性肿瘤"], "3_disease_term": ["窦"]}
丁酰苯和硫蒽精神安定剂的有害效应	Y49.400	{"dummy_term": ["丁", "酰", "苯", "和", "硫", "蒽", "精神", "安定剂", "的", "有害", "效应"]}
累及其他复合身体部位的开放性伤口	T01.800	{"dummy_term": ["累及", "其他", "复合", "部位", "的"], "5_others_term": ["身体"], "3_disease_term": ["开放性", "伤口"]}
脑电图异常	R94.001	{"dummy_term": ["异常"], "2_operation_term": ["脑电图"]}
冠状动脉介入治疗术后心肌梗死	I21.303	{"1_region_term": ["冠状动脉"], "dummy_term": ["介入", "后", "心肌梗死"], "2_operation_term": ["治疗术"]}
急性附睾炎	N45.907	{"dummy_term": ["急性", "附睾炎"]}
坏死性溃疡性口炎	A69.000	{"dummy_term": ["坏死性", "溃疡性", "口炎"]}
其他和未特指部位的口良性肿瘤	D10.3	{"dummy_term": ["其他", "和", "未", "特指", "部位", "的", "口", "良性肿瘤"]}
功能性高胰岛素血症	E16.103	{"dummy_term": ["高", "血症"], "5_others_term": ["功能性", "胰岛素"]}
新生儿脐炎伴有或不伴有轻度出血	P38.x00	{"1_region_term": ["脐"], "dummy_term": ["新生儿", "炎", "伴有", "或", "不", "伴有", "轻度", "出", "血"]}
涉及未特指整形手术的随诊医疗	Z42.9	{"dummy_term": ["涉及", "未", "特指", "整形手术", "的", "随", "诊", "医疗"]}
原发性急性闭角型青光眼	H40.203	{"dummy_term": ["原发性", "急性", "闭", "角", "型"], "5_others_term": ["青光眼"]}
创伤性股动静脉瘘	S75.901	{"1_region_term": ["动静脉瘘"], "dummy_term": ["创伤性", "股"]}
小肠恶性肿瘤个人史	Z85.003	{"1_region_term": ["小肠"], "dummy_term": ["恶性肿瘤", "个人", "史"]}
非感染性急性肠炎	K52.904	{"dummy_term": ["非", "感染性", "急性", "肠炎"]}
胸腺囊肿	E32.801	{"1_region_term": ["胸腺"], "3_disease_term": ["囊肿"]}
舌根肿瘤	D37.009	{"1_region_term": ["舌根"], "dummy_term": ["肿瘤"]}
未特指的截瘫	G82.2	{"dummy_term": ["未", "特指", "的", "截瘫"]}
周围血管系统其他特指的先天性畸形	Q27.800	{"1_region_term": ["周围血管"], "dummy_term": ["系统", "其他", "特指", "的", "先天性"], "3_disease_term": ["畸形"]}
细小病毒作为分类于其他章疾病的原因	B97.600	{"dummy_term": ["细小", "病毒", "作为", "分类", "于", "其他", "章", "疾病", "的", "原因"]}
不完全性医疗性流产，并发栓塞	O04.200	{"dummy_term": ["不完全性", "医疗", "性", "流产", ",", "并发", "栓塞"]}
腮腺导管瘘	K11.402	{"1_region_term": ["腮腺导管"], "3_disease_term": ["瘘"]}
取除子宫内节育器	Z30.503	{"1_region_term": ["子宫内"], "dummy_term": ["取", "除", "节育器"]}
哮喘和其他慢性下呼吸道疾病家族史	Z82.500	{"dummy_term": ["哮喘", "和", "其他", "慢性", "下", "呼吸道", "疾病", "家族史"]}
腭白斑	K13.202	{"1_region_term": ["腭"], "dummy_term": ["白斑"]}
操作后的血管并发症，不可归类在他处者	T81.700	{"1_region_term": ["血管"], "dummy_term": ["后", "的", "并发症", ",", "不可", "归类", "在", "他", "处", "者"], "5_others_term": ["操作"]}
